date,text,label,score,summary,empathy
2025-08-05,벌써 며칠째 전화도 없는너 며칠 뒤면 나의 생일이란걸 아는지 눈치도 없이 시간은 자꾸만 흘러각 난 미움보다 걱정스런 맘에 찾아간 너의 골목 어귀에서 생각지 못한 웃으며 반기는 너를 봤어,걱정스러운,41,생일이 다가오는데 연락 없는 너를 걱정하며 골목을 찾아갔더니 unexpectedly 너의 따뜻한 미소로 맞이받았다.,"생일이 가까워져도 소중한 사람의 마음이 걱정되는 건 정말 이해가 가, 그 마음이 따뜻하게 전해진 것 같아."
2025-08-06,내가 야구를 보는데 응원하는팀이 이겨서 기분이 좋아,신이 난,90,야구 관람 중 내가 응원하는 팀이 이겨서 기분이 좋다.,"와, 정말 행복한 하루겠네요! 응원하는 팀이 이겼다니 기분이 더할 나위 없이 좋겠어요."
2025-08-07,아침에 배드민턴을 치고 왔더니 기분이 좋네,신이 난,90,아침에 배드민턴을 치고 기분이 좋아졌다.,아침에 운동으로 기분이 좋아지다니 정말 멋진 시작이네요!
2025-08-08,오늘 친구랑 산책하며 이야기해서 기분이 참 좋았어,편안한,68,오늘 친구와 산책하며 즐거운 대화를 나눠서 기분이 좋았다.,"친구와의 소중한 산책이 정말 행복한 순간이었겠어요, 그런 기분을 함께 나누는 건 정말 소중하죠."
2025-08-09,물놀이 해서 기분이 너무 좋았지만 선크림을 발랐어도 내 피부가 탔어,실망한,22,"물놀이가 즐거웠지만, 선크림을 발랐음에도 불구하고 피부가 탔다.","물놀이의 기분 좋은 추억이 있지만, 피부가 탄 건 아쉬움이 크겠네, 그 마음 충분히 이해해!"
2025-08-10,새로 시작한 취미가 너무 재미있어서 시간 가는 줄 몰랐어,만족스러운,75,새로 시작한 취미가 너무 재미있어서 시간 가는 줄 몰랐다.,"그렇게 재미있는 취미를 발견했다니 정말 좋네요, 시간을 잊고 몰입할 수 있는 순간이 참 소중하죠!"
2025-08-11,오늘 가족과 맛있는 저녁을 먹어서 행복했어,편안한,68,오늘 가족과 함께 맛있는 저녁을 먹고 행복한 시간을 보냈다.,가족과 함께 맛있는 저녁을 나누는 시간은 정말 소중하고 행복한 순간이죠!
2025-08-12,"아침부터 준비한 발표에서 예상치 못한 질문들이 많이 나와서 당황했고, 집중이 잘 안 돼서 속상했어요. 그래도 친구들이 격려해줘서 조금 힘이 났고, 저녁에 좋아하는 음악을 들으며 마음을 다잡았답니다. 내일은 좀 더 잘할 수 있을 거라고 믿어요!",신뢰하는,65,오늘 발표에서 예상치 못한 질문으로 당황했지만 친구들의 격려와 좋아하는 음악 덕분에 마음을 다잡고 내일을 기대하게 되었어요.,"그런 힘든 하루를 겪었지만 친구들의 격려로 힘을 얻고, 내일을 긍정적으로 바라보는 모습이 정말 멋져요!"
2025-08-13,오늘 학교에서 하루중일 배드민턴을 쳐서 좀 힘들었지만 만족스러웠다,만족스러운,75,오늘 학교에서 배드민턴을 쳐서 힘들었지만 만족스러운 하루였다.,그렇게 열심히 배드민턴을 치고 나면 힘든 만큼 더 많은 보람을 느낄 수 있죠! 정말 멋져요!
2025-08-14,"오늘은 학교에서 발표 준비 때문에 많이 긴장했어요. 친구들이 잘 들어줄까 걱정도 되고, 제 생각보다 실수할까 봐 초조했어요. 그래도 발표가 끝나고 나니 조금 안도되고, 노력한 보람도 느껴졌습니다",안도,77,"오늘은 발표 준비로 긴장했지만, 발표가 끝난 후 안도감과 보람을 느꼈습니다.","그 마음 정말 이해해, 발표는 항상 긴장되지만 끝낸 후의 안도감은 정말 소중하니 잘한 거야!"